Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1988	Maharshi	Vamsy	Kamal Haasan	Gautami			Drama
1988	Sahasam Cheyara Dimbhaka	Relangi Narasimha Rao	Rajendra Prasad	Kalpana			Drama
1988	Bava Marudula Saval	C. V. Ganesh	Rajendra Prasad	Rajasekhar			Drama
1988	Bhama Kalapam	Kodandarami Reddy	Rajendra Prasad	Seetha			Drama
1988	Asthulu Anthasthulu	Ashok Kumar	Rajendra Prasad	Geetha			Drama
1988	Bharya Bhartala Bhagotham	Mahesh Kumar	Rajendra Prasad	Chandra Mohan			Drama
1988	Maharajashri Mayagaadu	Vijaya Bapineedu	Rajendra Prasad	Sridevi			Drama
1988	Intinti Bhagavatham	V. E. Sharma	Naresh	Rohini			Drama
1988	Tiragabadda Telugubidda	A. Kodandarami Reddy	Rajendra Prasad	Bhanupriya			Drama
1988	Jeevana Ganga	K. Raghavendra Rao	Krishnam Raju	Jaya Prada			Drama
1988	Jeevana Jyothi	K. Raghavendra Rao	Murali Mohan	Rajani			Drama
1988	Kaliyuga Karnudu	Krishna	Krishna	Radha			Drama
1988	Aanimuthyam	Bandela Eshwar Rao	Rajendra Prasad	Radhika			Drama
1988	Maharajasri Mayagadu	Vijaya Bapineedu	Krishna	Radha			Drama
1988	Raktabhishekam	A Kodandarami Reddy	Nandamuri Balakrishna	Radha			Action
1988	Agni Keratalu	K. Raghavendra Rao	Krishna	Gautami			Drama
1988	Aswaddhama	B. Gopal	Krishna	Shobana			Action
1988	Station Master	Kodanda Rami Reddy	Rajendra Prasad	Shantipriya			Drama
1988	Aahuthi	Kodandarami Reddy	Vijayashanti	Vijayashanti			Drama
1988	Thodallullu	Relangi Narasimha Rao	Rajendra Prasad	Gautami			Drama
1988	Chinnodu Peddodu	Relangi Narasimha Rao	Rajendra Prasad	Rahasiya			Drama
1988	Maa Inti Maharaju	Vijaya Bapineedu	Krishnam Raju	Jayasudha			Drama
1988	Premayanam	Relangi Narasimha Rao	Naresh	Shantipriya			Drama
1988	Donga Pelli	Ravi Raja Pinisetty starring Sobhan Babu	Sobhan Babu	Vijaya Shanti			Drama
1988	Jhansi Rani	K. S. R. Das	Vijayashanti	Vijayashanti			Drama
1988	Dharma Teja	K. Raghavendra Rao	Akkineni Nageswara Rao	Radha			Drama
1987	Damit Katha Adam Thirigindi	K. Vasu	Rajendra Prasad	Sita			Drama
1987	Gundamma Gari Krishnulu	Relangi Narasimha Rao	Rajendra Prasad	Rajani			Drama
1987	Shankharavam	Krishna	Krishna	Rajani			Drama
1987	Muddayi	K.S.R. Das	Krishna	Vijayashanti			Drama
1987	Thandri Kodukula Challenge	M. Mallikarjuna Rao	Krishna	Radha			Drama
1987	Sahasa Samrat	Kodandarami Reddy	Nandamuri Balakrishna	Vijayashanti			Action
1987	Bhargava Ramudu	A. Kodandarami Reddy	Nandamuri Balakrishna	Vijayashanti			Drama
1987	Makutamleni Maharaju	K. Vasu	Krishna	Ashwini			Drama
1987	Vishwanatha Nayakudu	Krishna	Krishna	Vijayashanti			Drama
1987	Vamsy	Krishnam Raju	Krishnam Raju	Bhanupriya			Drama
1987	Thene Manasulu	K. Vasu	Rajendra Prasad	Archana			Drama
1987	Nakoo Pellam Kavali	Vijaya Bapineedu	Rajendra Prasad	Shantipriya			Drama
1987	Maa Voori Magadu	K. Bapaiah	Krishna	Jayanthi			Action
1987	Sardar Krishnama Naidu	A. Kodandarami Reddy	Krishna	Vijayashanti			Action
1987	Muvva Gopaludu	Kodandarami Reddy	Nandamuri Balakrishna	Vijayashanti			Drama
1987	Pushpaka Vimanam	Singitham Srinivasa Rao	Kamal Haasan	Amala			Drama
1987	Maharshi	Vamsy	Kamal Haasan	Gautami			Drama
1987	Lawyer Suhasini	Vamsy	Rajendra Prasad	Suhasini			Drama
1987	Prema Samrat	K. Murali Mohan	Kamal Haasan	Khushbu			Drama
1987	Dammit Katha Addam Thirigindi	K. Vasu	Rajendra Prasad	Chandra Mohan			Drama
1987	Ramu	Y. Nageswara Rao	Nandamuri Balakrishna	Rajani			Drama
1987	Sankharavam	Krishnam Raju	Krishnam Raju	Bhanupriya			Drama
1987	Tene Manasulu	Rajendra Prasad	Krishna	Rajani			Drama
1987	Brahma Nayudu	Kodandarami Reddy	Krishna	No Female Lead			Action
1987	Maa Ooru	Kodanda Rami Reddy	Rajendra Prasad	Gautami			Drama
1987	Muddu Bidda	K.S.R. Das	Krishna	Radha			Drama
1987	Dongodochhadu	Kodi Ramakrishna	Krishna	Radha			Drama
1987	Sardar Dharmanna	K. Vasu	Krishnam Raju	Jaya Prada			Drama
1986	Srimathi Oka Bahumathi	Visu	Naresh	Chandra Mohan			Drama
1986	Ravana Brahma	Kodandarami Reddy	Krishnam Raju	Radha			Action
1986	Parasuramudu	G. Ram Mohana Rao	Krishna	Radha			Drama
1986	Sakkanodu	Kodandarami Reddy	Suman	Vijayashanti			Action
1986	Aadi Dampatulu	Dasari Narayana Rao	Rajendra Prasad	Jayasudha			Drama
1986	Driver Babu	Bobby	Sobhan Babu	Radha			Drama
1986	Apoorva Sahodarulu	K. Raghavendra Rao	Nandamuri Balakrishna	Jayasudha			Drama
1986	Nippulanti Manishi	S. B. Chandrashekar	Nandamuri Balakrishna	Radha			Action
1986	Punyasthree	Muthyala Subbaiah	Rajendra Prasad	Deepti			Drama
1986	Jailu Pakshi	Kodandarami Reddy	Rajendra Prasad	Urvasi			Drama
1986	Muddula Krishnaiah	Kodandarami Reddy	Nandamuri Balakrishna	Radha			Drama
1986	Repati Pourulu	K. Vasu	Krishnam Raju	Vijayashanti			Drama
1986	Santhi Nivasam	G. Ram Mohana Rao	Krishna	Radha			Drama
1986	Nireekshana	Balachandra	Nandamuri Balakrishna	Gautami			Drama
1986	Prathibhavanthudu	K. Vasu	Krishna	Jayasudha			Drama
1986	Brahma Rudrulu	K. Vasu	Krishna	No Female Lead			Action
1986	Jayam Manade	Kovelamudi Bapayya	Krishna	No Female Lead			Drama
1986	Naa Pilupe Prabahanajam	P. Chandrasekhara Reddy	Krishna	No Female Lead			Drama
1986	Brahmasthram	G. Ram Mohana Rao	Krishna	Vijayashanti			Drama
1986	Ugra Narasimham	Kodandarami Reddy	Nandamuri Balakrishna	Radha			Action
1986	Krishna Paramathma	Krishna	Krishna	Radha			Drama
1986	Khaidi Rudraiah	A. Kodandarami Reddy	Krishna	Sharada			Drama
1986	Dasari Narayana Rao	Krishnam Raju, Jaya Prada, Jayasudha	Annapurna Studios	Padmalaya Studios			Biographical
1986	Swathi Muthyam	Krasna	Kamal Haasan	Radhika			Drama
1986	Aranyakanda	Kranthi Kumar	Akkineni Nagarjuna	Ashwini			Drama
1986	Brahmastram	Kodandarami Reddy	Krishnam Raju	Vijayashanti			Action
1986	Krishna Garadi	Kodandarami Reddy	Krishnam Raju	Jaya Prada			Drama
1986	Kaliyuga Krishnudu	K. Murali Mohana Rao	Nandamuri Balakrishna	Khushboo			Drama
1985	Babayi-Abbayi	Jandhyala	Nandamuri Balakrishna	Anita Reddy			Drama
1985	Sravanthi	M. Krishnudu	Murali Mohan	Saritha			Drama
1985	Bhale Thammudu	Paruchuri Gopala Krishna	Nandamuri Balakrishna	No Female Lead			Action
1985	Surya Chandra	Vijaya Bapineedu	Krishna	Rajani			Drama
1985	Kongu Mudi	Vijaya Bapineedu	Rajendra Prasad	Suhasini			Drama
1985	Vajrayudham	K. Raghavendra Rao	Krishna	No Female Lead			Action
1985	Maha Manishi	K. Bapayya	Krishna	Jaya Prada			Drama
1985	Agni Parvatam	K. Raghavendra Rao	Kongara Jaggayya	Vijayashanti			Action
1985	Muchataga Mugguru	Relangi Narasimha Rao	Rajendra Prasad	Kongara Jaggaiah's daughter, but I am not confident about her name, so: Unknown			Drama
1985	Dampatyam	A. Kodandarami Reddy	Naresh	No Female Lead			Drama
1985	Babai Abbai	Jandhyala	Nandamuri Balakrishna	Anitha Reddy			Drama
1985	Siksha	K. Balachander	Murali Mohan	Suhasini			Drama
1985	Maha Sangramam	A. Kodandarami Reddy	Krishna	Jaya Prada			Drama
1985	Yuvataram Pilicindi	Kodandarami Reddy	Sarath Babu	Vanisri			Drama
1985	Vandemataram	T. Krishna	Rajasekhar	Vijayashanti			Drama
1985	Aalapana	Vamsy	Murali Mohan	Sumalatha			Drama
1985	Srivari Shobanam	Kashinath	Akkineni Nageswara Rao	No Female Lead			Drama
1985	Bullet	Bhargava	Krishnam Raju	Sujatha			Action
1985	Andharikante Monagadu	T.L.V. Prasad	Krishna	Jayasudha			Drama
1985	Pattabhishekam	K. Vasu	Nandamuri Balakrishna	Vijayashanti			Drama
1985	Ragile Gundelu	Kodandarami Reddy	Krishna	Regina			Action
1985	Tirugubatu	A Kodandarami Reddy	Rajendra Prasad	Poornima			Drama
1985	Lanchavatharam	K. Vasu	Dasari Narayana Rao	Sumalatha			Drama
1985	Palnati Simham	Krishnam Raju	Krishna	Jaya Prada			Action
1985	Maa Pallelo Gopaludu	Kodi Ramakrishna	Arjun	Poornima			Drama
1985	Manthra Dandam	K. Murali Mohan	Unknown	Jayasudha			Action
1985	Aatmabalam	Tatineni Prasad	Kaikala Satyanarayana	No Female Lead			Drama
1985	Kotha Pelli Koothuru	K. S. Rami Reddy	Chandra Mohan	Vijayashanti			Drama
1985	Bangaru Chilaka	Kodandarami Reddy	Sobhan Babu	Sujatha			Drama
1985	Vande Mataram	Kodandarami Reddy	Krishnam Raju	Madhavi			Drama
1985	Mogudu Pellalu	Kodi Ramakrishna	Naresh	Shobana			Drama
1985	Maharaju	Vasantkumar Reddy	Rajinikanth	Jayasudha			Action
1985	Dongala Vetagadu	K. Raghavendra Rao	Unknown	Radha			Action
1985	Kattula Kondayya	K. Vasu	Rajendra Prasad	Sumalatha			Drama
1985	Bharyabhartala Bandham	K. Vasu	Nandamuri Balakrishna	Rajani			Drama
1985	Devalayam	K. Vasu	Sobhan Babu				Drama
1984	Seethamma Pelli	Bapu	Naresh	Poornima			Drama
1984	Kirai Alludu	K.S.R. Das	Krishna	Jayasudha			Drama
1984	Bava Maradallu	Bhargava	Karthik	No Female Lead			Drama
1984	Mukhyamanthri	K. Raghavendra Rao	Krishna	Radha			Drama
1984	Aadadhi Visirina Savaal	K. S. R. Das (Screenplay/Direction)	Vijayalalitha	Murali Mohan			Drama
1984	Justice Chakravarthy	K. Vasu	Nandamuri Balakrishna	Raadhika			Drama
1984	Kathanayakudu	K. Vasu	Kamal Haasan	Sridevi			Drama
1984	Bangaru Kapuram	K. Bapaiah	Krishna	Sridevi			Drama
1984	Palnati Puli	Dasari Narayana Rao	Krishnam Raju	Jayasudha			Action
1984	Nava Mohini	Kodandarami Reddy	Naresh	Madhavi			Drama
1984	Swati	Kranthi Kumar	Sarath Babu	Suhasini			Drama
1984	Janani Janmabhoomi	K. Raghavendra Rao	Nandamuri Balakrishna	Jayasudha			Drama
1984	Vasantha Geetam	Singh	Akkineni Nageswara Rao	Sujatha			Drama
1984	Adarshavanthudu	Kodandarami Reddy	Krishnam Raju	Vijayashanti			Drama
1984	Kutumba Gowaravam	K. Vasu	Arun Kumar	Suhasini			Drama
1984	Rajahmundry Rome	V. Madhusudhan Rao	Chandra Mohan	Tulasi			Drama
1984	Raga Bandham	Bapu	Suman	Jayasudha			Drama
1984	Bhagyalakshmi	K. Vasu	Naresh	Poornima			Drama
1984	Rowdy	K. Vasu	Mohan Babu	Madhavi			Action
1984	Nayakulaku Saval	K. Vasu	Krishna	Jaya Prada			Drama
1984	Sitaara	Vamsy	Suman	Bhanupriya			Drama
1984	Rachayitri	K. Vasu	Bhanu Chander	Suhasini			Drama
1984	Janam Manam	Mohan Gandhi	Murali Mohan	Mucherla Aruna			Drama
1984	Tandava Krishnudu	P	Kaikala Satyanarayana	No Female Lead			Mythological
1984	Devalayam	K. Vasu	Krishnam Raju	Jayasudha			Drama
1984	Kurukshetramlo Sita	B. V. Prasad	Mohan Babu	No Female Lead			Mythological
1984	Disco King	Bhagyaraj	Nandamuri Balakrishna	Radha			Drama
1984	Kurra Cheshtalu	B. V. Prasad	Rajendra Prasad	Poornima			Drama
1984	Yuddham	Dasari Narayana Rao	Krishna	Jaya Prada			Drama
1984	Uddhandudu	P. Sambasiva Rao	Krishna	Sumalatha			Drama
1984	Dandayatra	K. Raghavendra Rao	Sobhan Babu	Lakshmi			Drama
1984	Railu Dopidi	Kodandarami Reddy	Naresh	Poornima			Drama
1984	Pulijoodam	P. Chandrasekhara Reddy	Krishna	Radha			Drama
1984	Sangeeta Samrat	K. Vasu	Nandamuri Balakrishna	Vijayashanti			Drama
1984	Abhimanyudu	Dasari Narayana Rao	Krishnam Raju	Jaya Prada			Action
1984	Swathi	K. Vasu	Kamal Haasan	Raadhika			Drama
1984	K. Balachander	K. Balachander	Rajinikanth	Jaya Prada			Drama
1984	Veerabhadrudu	A Kodandarami Reddy	Krishnam Raju	Jayasudha			Action
1984	Raktha Sambandham	K. Vasu	Krishna	Suhasini			Drama
1984	Sahasame Jeevitham	K. Balachander	Nandamuri Balakrishna	Raadhika			Drama
1984	Manasa Veena	Peethambaram	Akkineni Nageswara Rao	Sujatha			Drama
1984	Merupu Daadi	Raviraja Pinisetty	Sobhan Babu	Radha			Drama
1984	Yama Doothalu	P. Chandrasekhara Reddy	Rajendra Prasad	Jayasudha			Drama
1984	Kotha Dampathulu	K. Vasu	Naresh	Poornima			Drama
1984	Jagan	Dasari Narayana Rao	Sobhan Babu	Jayasudha			Drama
1983	Doctor Gari Kodalu	Muktha Srinivasan	Sivaji Ganesan	Saritha			Drama
1983	Shakthi	K.Bapayya	Krishna	Rathi			Action
1983	Bandhipotu Rudramma	B. Bhaskara Rao	Kavitha	Suhasini			Drama
1983	Bahudoorapu Batasari	Dasari Narayana Rao	Krishnam Raju	Sulakshana			Drama
1983	Vetagadi Vijayam	Kodandarami Reddy	Suman	Vijayashanti			Action
1983	Kirayi Rangadu	A. Kodandarami Reddy	Suman	Vijayashanti			Action
1983	Moogavadi Paga	Kodandarami Reddy	Suman	No Female Lead			Action
1983	Keerthi Kantha Kanakam	K. Vasu	Suman	Vijayashanti			Drama
1983	M.L.A. Yedukondalu	Dasari Narayana Rao	Dasari Narayana Rao	Jaya Sudha			Drama
1983	Moodu Mullu	Jandhyala Subramanya Sastry	Kota Srinivasa Rao	No Female Lead			Comedy
1983	Konte Kodallu	K Vasu	Murali Mohan				Drama
1983	Chattaniki Sawal	K. Vasu	Suman	Madhavi			Action
1983	Prema Sagaram (Tamil Dubbed Nenjil Oru Ragam)	T. Rajendar	T. Rajendar	Saritha			Drama
1983	Rajakumar	K. Vasu	Kamal Haasan	Madhavi			Drama
1983	Apadhbandhavulu	K. Vasu	Suman	Geetha			Drama
1983	Chandashasanudu	Krasna	N.T. Rama Rao	Deepti Bhatnagar			Action
1983	Oorantha Sankranthi	K. Vasu	Krishna	Bhanupriya			Drama
1983	Penki Ghatam (Tamil Dubbed Iniayavaley Vaa)	N. C. Chakravarthi	Radhika	Menaka			Drama
1983	Grahanam Vidichindi	Murali Mohan	Rajendra Prasad	Poornima			Drama
1983	Akka Mogudu Chelleli Kapuram	Katta Subba Rao	Chandra Mohan	Prabha			Drama
1983	Agni Samadhi	K. Vasu	Krishnam Raju	Jaya Prada			Drama
1983	Navodayam	Dasari Narayana Rao	Sobhan Babu	Jaya Prada			Drama
1983	Devi Moogambika	Renuka Sharma	Sridhar	Bhavya			Drama
1983	Pandanti Kapuraniki 12 Suthralu	Raja Chandra	Suman	Vijayashanti			Drama
1983	Kirayi Bommalu	Kodandarami Reddy	Suman	Poornima			Drama
1983	Maa Intiki Randi	Kodi Ramakrishna	Kodi Ramakrishna	Suhasin			Drama
1983	Rangula Puli	Kodandarami Reddy	Suman	Raadhika			Action
1983	Adadhi Aata Bommaa!	R K Battula (story/direction)	Sekthi	Sony			Drama
1983	Manavulara Manninchandi	K. Balachander	Kamal Haasan	Suhasini			Drama
1983	Maa Intaina Katha	K. Phanindra	Chandra Mohan	Sulakshana			Drama
1983	Pralaya Gharjana	K. Vasu	Krishna	Sripriya			Drama
1983	Koti Kokkadu	K. Vasu	Suman	Rati Agnihotri			Action
1983	Kodalu Kaavaali	K. Vasu	Suman	Sumalatha			Drama
1983	Kanthaiyya Kanakaiyya	K. Vasu	Suman	Madhavi			Drama
1983	Simhamtho Chelagatam	Kodandarami Reddy	Suman	Vijayashanti			Action
1983	Kaksha Sadistha	Kodandarami Reddy	Suman	Madhavi			Drama
1983	Chandi Rani	Kodandarami Reddy	Suman	Jaya Prada			Drama
1983	Chattam	K. Bapayya	Krishnam Raju	Jaya Prada			Action
1983	Lankebindelu	Vijaya Nirmala	Krishna	Radha			Drama
1983	Puli Debba	K. Vasu	Suman	Jaya Prada			Action
1983	C I D Simham (Kannada Dub Sahasa Simha 1982)	Joe Simon	Vishnuvardha	Kajal Kiran			Action
1983	Andhra Kesari	K. Vasu	Krishnam Raju	Jayasudha			Drama
1983	Challenge Vetagallu	A. Kodandarami Reddy	Suman	Vijayashanti			Action
1983	Raakasi Loya	Kodandarami Reddy	Suman	Madhavi			Drama
1983	Ee Desamlo Oka Roju	Satyanarayana Vejella	Rajendra Prasad	Kavitha			Drama
1983	Dharmaatmudu	Bharathiraja	Krishnam Raju	Jayasudha			Drama
1983	Antham Chusina Adadhi	Bhargava	Rajendra Prasad	Jyothi			Drama
1983	Kala Yamudu	K. Vasu	Krishna	Vijayashanti			Action
1983	Police Venkataswamy	Konasima	Rajinikanth	Jaya Prada			Action
1983	Manishiko Chartira	Vijaya Bapineedu	Suman	Suhasini			Drama
1983	Eeswarudu Seneswarudu	K. Vasu	Krishnam Raju	Jayasudha			Drama
1983	Prema Sagaram	K. Vasu	Kamal Haasan	Sripriya			Drama
1983	Rangula Kala	B. Narsing Rao	Rajendra Prasad	Subhashini			Drama
1983	Ikanaina Marandi	Kodandarami Reddy	Suman	Suhasini			Action
1983	Idhi Kadhu Mugimpu	Satyanarayana Vejella	Rajendra Prasad	Geetha			Drama
1983	Desanikokkadu	K. Vasu	Krishnam Raju	Jaya Prada			Drama
1983	Manishiki Maro Peru	Tatineni Prasad	Unknown	Sudhakar			Drama
1983	Kanne Donga	A. Kodandarami Reddy	Krishna	Radha			Action
1983	Kasi Yatra	K. Vasu	Akkineni Nageswara Rao	Sujatha			Drama
1983	Siripuram Monagadu	K. Vasu	Krishna	Suhasini			Drama
1983	Debbaku Debba	Kodandarami Reddy	Rajinikanth	Poornima			Drama
1983	Prema Vijayam	Kodandarami Reddy	Suman	Vijayashanti			Drama
1983	Kaliyuga Dhaivam	M. Rosi Raju	Ramakrishna, Sarath Babu	Jayasudha			Drama
1983	Devi Sridevi	K. Vasu	Murali Mohan	Sridevi			Drama
1983	Thodu Needa	K. Vasu	Kamal Haasan	Sumalatha			Drama
1983	Raju Rani Jocky	Singeetham Srinivasa Rao	Chandra Mohan	Radhika			Drama
1983	Triveni Sangamam	K. Vasu	Somayajulu	No Female Lead			Drama
1983	Kunkuma Tilakam	Bhargava	Rajendra Prasad	Sumalatha			Drama
1983	Bezawada Bebbuli	A. Kodandarami Reddy	Krishna	Sujatha			Drama
1983	Muddula Mogudu	K. Vasu	Sobhan Babu	Sujatha			Drama
1983	Gaju Bommalu	Kodandarami Reddy	Naresh	Poornima			Drama
1983	Trisulam	K. Vasu	Krishnam Raju	Sridevi			Action
1983	Ramarajyamlo Bheemaraju	A. Kodandarami Reddy	Krishna	Sujatha			Drama
1983	Lanke Bindelu	K. Vasu	Suman	Sujatha			Action
1983	Subha Muhurtham	Relangi Narasimha Rao	Rajendra Prasad	Vijayashanti			Drama
1983	Digivachina Devudu	K. Vasu	Lokesh	Jaya Prada			Action
1983	Bharathamma Muddu Biddalu	Veera	Krishnam Raju	Jayasudha			Drama
1983	Nijam Chebithe Nerama	M. Balaiah	Krihnam Raju	Rao Gopala Rao			Drama
1983	Amarajeevi	Jandhyala Subramanya Sastry	Akkineni Nageswara Rao	No Female Lead			Drama
1983	Intalludu	Kodandarami Reddy	Suman	Allu Ramalingaiah's daughter, Padmanjali,  but commonly known as  -  Suhasini			Drama
1983	Padmavathi Kalyanam	K. Vasu	Suman	Vijayashanti			Drama
1983	Raghu Ramudu	Kodandarami Reddy	Suman	Shirley Alexis			Action
1983	Kalyana Veena	K. Shankar	Kamal Haasan	Sripriya			Drama
1983	Dharma Poratam	T. Krishna	Nandamuri Balakrishna	Deepa			Action
1983	Chanda Sasanudu	Krasna	N.T. Rama Rao	Vijayashanti			Action
1983	Muggurammayila Mogudu	Relangi Narasimha Rao	Rajendra Prasad	Shanthi Priya			Drama
1983	Iddaru Kiladeelu	Relangi Narasimha Rao	Suman	Suhasini			Drama
1983	Praja Rajyam	M. Mallikarjuna Rao	Krishna	Jaya Prada			Drama
1983	Palleturi Pidugu	Kodandarami Reddy	Suman	Poornima			Drama
1983	Monagadu Vastunnadu Jagratha	A. Kodandarami Reddy	Krishna	Sridevi			Drama
1983	Rudrakali	K.Raghavendra Rao	N.T. Rama Rao	Jaya Prada			Action
1983	Maharani (Tamil Dubbed Nayakkarin Magal 1982)	K. S. Gopalakrishnan	Sivaji Ganesan	Jai Ganesh			Drama
1983	Balidaanam	Dhavala Satyam	Sobhan Babu	Sarada			Drama
1983	Ee Pillaku Pellavuthunda	Vejella Satyanarayana	Gummadi	Sai Chand			Drama
1983	Pichi Pantuulu	Jandhyala	Murali Mohan	Madhavi			Drama
1983	Vimukthi Kosam	K. Vasu	Krishnam Raju	Jayasudha			Drama
1983	Devi Kanaykumari	K. Shankar	Krishnam Raju	No Female Lead			Drama
1983	Magallako Namaskaram	Bhavaniprasad	Somayajulu	No Female Lead			Drama
1983	Bhairava Kona	K. Vasu	Krishnam Raju	Jayasudha			Action
1983	Amayaka Chakravarthy	Kodandarami Reddy	Chandra Mohan	Bhanupriya			Drama
1983	Adavalle Aligithe	Vejella Satyanarayana	Gummadi Venkateswara Rao	No Female Lead			Drama
1983	Chandi Chamundi	Kodi Ramakrishna	Kavitha	Priyaraman			Action
1983	Praja Shakthi	Krasna	Krishnam Raju	Jaya Prada			Action
1983	Chilaka Josyam	A Kodandarami Reddy	Arun Kumar	No Female Lead			Drama
1983	Pidugu lanti Manishi	M. A. Thirumugham	Sivaji Ganesan	K. R. Vijaya			Drama
1983	Prema Jwala	K. Vasu	Suman	Vijayashanti			Drama
1983	Bharya Bharthala Sawal	Chandrashekar Reddy	Mohan Babu	Sumalatha			Drama
1982	Golkonda Abbulu	K. Vasu	Arun	Jayamalini			Drama
1982	Prema Nakshatram	Indra Kumar	Naresh	Pavithra			Drama
1982	Gruha Pravesam	Bhagyaraj	Rajinikanth	Sarath Babu's pair was Radhika, however the other heroine is Unknown			Drama
1982	Bapu	K. Bapayya	Sobhan Babu	Sridevi			Drama
1982	Prathikaram	K. Vasu	Sarath Babu	Vijayashanti			Drama
1982	Krishnarjunulu	Dasari Narayana Rao	Krishnam Raju	Jaya Prada			Drama
1982	Viplava Shankam	K Vasu	Krishnam Raju	Jayasudha			Drama
1982	Krishnaarjunulu	K. Raghavendra Rao	Krishna	Sridevi			Drama
1982	Mahendran	T. L. V. Prasad	Krishnam Raju	Jaya Prada			Drama
1982	Justice Chowdary	K. Vasu	Sobhan Babu	Jayasudha			Drama
1982	Propakari Papanna	Dasari Narayana Rao	Krishnam Raju	Radhika			Drama
1982	Jagannatha Radhachakralu	V. Madhusudhan Rao	Krishna	Jaya Prada			Drama
1982	Chilipi Chinnodu	K. Vasu	Sarath Babu	Radhika			Drama
1982	Nivuru Gappina Nippu	K. Bapayya	Krishna	Vanisri			Drama
1982	Raj Bharat	K. Vasu	Krishnam Raju	Jayasudha			Drama
1982	Ekalavya	K. Balachander	Krishna	Sarath Babu			Drama
1982	Prema Sankellu	Kodandarami Reddy	Suman	Vijayashanti			Drama
1982	Malle Pandiri	K. Vasu	S. P. Balasubramaniam	Suhasini			Drama
1982	Radhamma Mogudu	A. Kodandarami Reddy	Krishnam Raju	Radha			Drama
1982	Vamsy	Kodi Ramakrishna	Kamal Haasan	Madhavi			Drama
1982	Trisulam	K. Vasu	Krishnam Raju	Sridevi			Drama
1982	Poola Pallaki	K. Vasu	Krishnam Raju	Jayasudha			Drama
1982	Iddaru Kodukulu	Dadasaheb Torne	Kamal Haasan	Sridevi			Drama
1982	Ee Charithra Ye Siratho	Vejella Satyanarayana	Siva Krishna	Sai Chand			Drama
1982	Vamsha Gowravam	Dasari Narayana Rao	Krishnam Raju	Jayasudha			Drama
1982	Anuraga Devatha	Dasari Narayana Rao	N.T. Rama Rao	Sridevi			Drama
1982	Gopala Krishnudu	K Vasu	Akkineni Nageswara Rao	Jayasudha			Drama
1982	Thanikattu Raja	V. C. Guhanathan	Rajinikanth	Sridevi			Drama
1982	Prema Nakshathram	P. Sambasiva Rao	Krishna	Sridevi			Drama
1982	Ee Charitra Ae Sirato	Vejalla Satyanarayana	Shiva Krishna	Rajya Lakshmi			Drama
1982	Cancer-Sukhavyadhulu	M. Prabhakar Reddy	M. Prabhakar Reddy	Jayachitra			Drama
1982	Doctor Cine Actor	Vijaya Nirmala	Krishna	Jayasudha			Drama
1982	Emandoyi Srimathigaru	K. Vasu	Sarath Babu	Poornima			Drama
1982	Raaga Deepam	A Kodandarami Reddy	Kamal Haasan	Silk Smitha			Drama
1982	Mantralaya Raghavendra Vaibhavam	Ramakrishna, Chandra Kala	Akkineni Nageswara Rao	Jaya Prada			Mythological
1982	Katta Subba Rao	Sobhan Babu, Lakshmi, Jayasudha, Nutan Prasad, Kaikala Satyanarayana	Vishnupriya Productions	No Female Lead			Drama
1982	Andagaadu	Bhargava	Rajinikanth	Madhavi			Action
1982	Prema Murthulu	Kodandarami Reddy	Sarath Babu	Radhika			Drama
1982	Nipputo Chelagaatam	Kommineni Seshagiri Rao	Allu Rama Lingaiah	Jayasudha			Drama
1982	Shamsher Shankar	K.S.R. Das	Krishnam Raju	Sujatha			Action
1982	Devatha	K. Vasu	Sobhan Babu	Sridevi			Drama
1982	Doctor Malathi	K. Vasu	Girish	Suhasini			Drama
1982	Shamshare Shankar	K.S.R. Das	Krishna	Sridevi			Drama
1982	Yuvraju	Kodandarami Reddy	Krishnam Raju	Jayasudha			Drama
1982	Karaikkal Ammaiyar	A.P. Nagarajan	K.B. Sundarambal	Lakshmi			Biographical
1982	Jagannadha Rathachakralu	Kodandarami Reddy	Krishnam Raju	Jayasudha			Drama
1982	Raja Chandra	Kodandarami Reddy	Krishnam Raju	Geetha			Drama
1982	Illali Korikalu	K. Vasu	Sobhan Babu	Suhasini			Drama
1982	Devadas Kanakala	R. Suresh Varma	Krishnam Raju	Sujatha			Drama
1982	Chinna Mul Peria Mul	N. S. Rajbharath	Tamil	No Female Lead			Drama
1982	O Adadhi O Magadu	Dasari Narayana Rao	Alekhya	Ravindra			Drama
1982	Kaliyuga Ramudu	K. Vasu	Nandamuri Balakrishna	Rati Agnihotri			Action
1982	Garuda Rekhe	K. Vasu	Krishna	Sridevi			Action
1982	Inikkum Ilamai	M	Sudhakar	Radhika			Drama
1982	Kilinjalgal	Bhimsingh	Kamal Haasan	Sridevi			Drama
1982	Ee Kaalam Katha	Madhav Rao	Sarath Babu	Jayasudha			Drama
1982	Dhavala Satyam	K. Vasu	Krishnam Raju	Jaya Prada			Drama
1982	Maro Malupu	K. Balachander	Gummadi	Suhasini			Drama
